segment	section	addr	size	fileoff	flags	transcribed_as
__TEXT	__text	0x0	285196	964	0x0	code (see part_*.c / raw/)
__TEXT	__cstring	0x45a0c	3936	286160	0x2	cstrings.c
__TEXT	__const	0x46970	22944	290100	0x0	TEXT___const.c
__TEXT	__constructor	0x4c310	48	313044	0x0	TEXT___constructor.c
__TEXT	__destructor	0x4c340	48	313092	0x0	TEXT___destructor.c
__TEXT	__literal4	0x4c370	52	313140	0x3	TEXT___literal4.c
__TEXT	__literal8	0x4c3a8	96	313196	0x4	TEXT___literal8.c
__DATA	__data	0x4c408	5188	313292	0x0	DATA___data.c
__DATA	__common	0x4d84c	292	0	0x1	zerofill (size only)
__DATA	__bss	0x4d970	12	0	0x1	zerofill (size only)
