00000000	8	MISSING	IOATIR500Accelerator::ASICSupportsAGP()
00000370	368	MISSING	IOATIR500Accelerator::display_change_handler(OSObject*, void*, IOFramebuffer*, long, void*)
00000550	476	MISSING	IOATIR500Accelerator::foundFramebuffer(IOFramebuffer*)
00000770	544	MISSING	IOATIR500Accelerator::findFramebuffers()
000009f0	168	MISSING	IOATIR500Accelerator::serializePerformanceStats(void*, void*, OSSerialize*)
00000ac0	5176	MISSING	IOATIR500Accelerator::writePerformanceStats(OSDictionary*)
00001fd0	144	MISSING	IOATIR500Accelerator::freeAllCommandBuffers(unsigned long)
00002310	36	MISSING	IOATIR500Accelerator::teardown2D()
000025d0	40	MISSING	IOATIR500Accelerator::setup2D()
00002650	2456	MISSING	IOATIR500Accelerator::start(IOService*)
00003410	112	MISSING	IOATIR500Accelerator::freeAllDataBuffers()
000034a0	4	MISSING	IOATIR500Accelerator::pageoff_dirty_texture(VendorTextureBuffer*, long, long)
00003670	8	MISSING	IOATIR500Accelerator::makeGARTEntry(unsigned long)
00004a50	64	MISSING	IOATIR500Accelerator::garbage_collector_timer(OSObject*, IOTimerEventSource*)
00004a90	516	MISSING	IOATIR500Accelerator::free_gart_wirings()
00004ce0	64	MISSING	IOATIR500Accelerator::gart_collector_timer(OSObject*, IOTimerEventSource*)
00004f20	148	MISSING	IOATIR500Accelerator::mapVendorTransferBuffer(VendorTransferBuffer*)
00004fe0	144	MISSING	IOATIR500Accelerator::unmapVendorTransferBuffer(VendorTransferBuffer*)
00005090	188	MISSING	IOATIR500Accelerator::teardownAGP(IOService*)
00005160	48	MISSING	IOATIR500Accelerator::commitAGPMemory(IOMemoryDescriptor*, unsigned long, unsigned long)
00005190	48	MISSING	IOATIR500Accelerator::releaseAGPMemory(IOMemoryDescriptor*, unsigned long, unsigned long)
000051c0	60	MISSING	IOATIR500Accelerator::reserveInGART(unsigned long)
00005200	32	MISSING	IOATIR500Accelerator::clearInGART(unsigned long)
00005270	356	MISSING	IOATIR500Accelerator::removeFromGART(IOMemoryDescriptor*, unsigned long)
000053e0	4	MISSING	IOATIR500Accelerator::synchronizeGART(unsigned long, unsigned long)
000053f0	4	MISSING	IOATIR500Accelerator::flush_memory_for_out(IOMemoryDescriptor*, unsigned long, unsigned long)
00005400	4	MISSING	IOATIR500Accelerator::flush_memory_for_in(IOMemoryDescriptor*, unsigned long, unsigned long)
00005410	52	MISSING	IOATIR500Accelerator::is_idle()
00005450	12	MISSING	IOATIR500Accelerator::set_stereo(unsigned long, unsigned long)
00005710	320	MISSING	IOATIR500Accelerator::disp_mode_did_change()
00005890	148	MISSING	IOATIR500Accelerator::teardown3D()
00005960	84	MISSING	IOATIR500Accelerator::system_did_wake()
00005a10	8	MISSING	IOATIR500Accelerator::getAccelCapsBits()
00005b80	1048	MISSING	IOATIR500Accelerator::configureAGP(IOService*)
00005fe0	636	MISSING	IOATIR500Accelerator::addToMinMaxGART(IOMemoryDescriptor*, unsigned long*, unsigned long, unsigned long)
00006270	80	MISSING	IOATIR500Accelerator::flush_memory_for_in(void const*, unsigned long)
000062c0	96	MISSING	IOATIR500Accelerator::flush_memory_for_out(void const*, unsigned long)
00006320	88	MISSING	IOATIR500Accelerator::requestProbe(unsigned long)
000063b0	84	MISSING	IOATIR500Accelerator::garbage_collector(OSObject*, IOInterruptEventSource*, int)
00006440	188	MISSING	IOATIR500Accelerator::gart_collector(OSObject*, IOInterruptEventSource*, int)
00006540	84	MISSING	IOATIR500Accelerator::system_will_sleep()
000065c0	840	MISSING	IOATIR500Accelerator::stop(IOService*)
00006ad0	636	MISSING	IOATIR500Accelerator::disp_mode_will_change(long)
00007130	116	MISSING	IOATIR500GLContext::clientClose()
000079c0	12	MISSING	IOATIR500GLContext::remove_surface()
00007b70	36	MISSING	IOATIR500GLContext::setCompatibleSurfaceMode(long*, eIOGLContextModeBits, long)
00007e60	4	MISSING	IOATIR500GLContext::set_texture_flags(VendorTextureBuffer*)
000083b0	4	MISSING	IOATIR500GLContext::add_vendor_surface_required_bits(eIOGLContextModeBits)
000087b0	864	SIG?	IOATIR500GLContext::set_surface(unsigned long, eIOGLContextModeBits, unsigned long, unsigned long)
00009740	224	SIG?	IOATIR500GLContext::page_off_texture(unsigned long, unsigned long, unsigned int, unsigned int)
00009a30	1724	SIG?	IOATIR500GLContext::get_data_buffer(unsigned int*, unsigned long*)
0000b7f0	476	MISSING	IOATIR5002DContext::stop(IOService*)
0000ba30	116	MISSING	IOATIR5002DContext::clientClose()
0000bab0	64	MISSING	IOATIR5002DContext::init_command_buffer_header(VendorCommandBufferHeader*, unsigned long, unsigned long)
0000bb30	12	MISSING	IOATIR5002DContext::remove_surface()
0000c0a0	488	MISSING	IOATIR5002DContext::start(IOService*)
0000c2c0	12	SIG?	IOATIR5002DContext::set_surface_paging_options(IOSurfacePagingControlInfoStruct*, IOSurfacePagingControlInfoStruct*, unsigned long, unsigned long*)
0000c2d0	12	SIG?	IOATIR5002DContext::set_surface_vsync_options(IOSurfaceVsyncControlInfoStruct*, IOSurfaceVsyncControlInfoStruct*, unsigned long, unsigned long*)
0000c2e0	236	MISSING	IOATIR5002DContext::set_macrovision(unsigned long)
0000c570	596	MISSING	IOATIR5002DContext::set_surface(unsigned long, eIOContextModeBits, void*, unsigned long*)
0000c850	212	MISSING	IOATIR5002DContext::get_surface_info(unsigned long, eIOContextModeBits, void*, unsigned long*)
0000c960	432	MISSING	IOATIR5002DContext::swap_surface(unsigned long, unsigned long*)
0000cc80	576	MISSING	IOATIR5002DContext::lock_memory(unsigned long, unsigned int*, unsigned long*)
0000cf30	176	MISSING	IOATIR5002DContext::unlock_memory(unsigned long, unsigned long*)
0000d020	196	SIG?	IOATIR5002DContext::declare_image(unsigned long, unsigned int, unsigned long, unsigned int*)
0000d130	216	SIG?	IOATIR5002DContext::create_image(unsigned long, unsigned long, unsigned int*, unsigned int*)
0000d260	368	MISSING	IOATIR5002DContext::create_transfer(unsigned long, unsigned long, unsigned int*, unsigned int*)
0000d6f0	2080	MISSING	IOATIR5002DContext::clientMemoryForType(unsigned long, unsigned long*, IOMemoryDescriptor**)
0000e3a0	680	MISSING	IOATIR500DVDContext::stop(IOService*)
0000e6d0	116	MISSING	IOATIR500DVDContext::clientClose()
0000e780	72	MISSING	IOATIR500DVDContext::init_command_buffer_header(VendorCommandBufferHeader*, unsigned long, unsigned long)
0000e810	12	MISSING	IOATIR500DVDContext::remove_surface()
0000e970	8	MISSING	IOATIR500DVDContext::setCompatibleSurfaceMode(long*, eIODVDContextModeBits)
0000ec60	464	MISSING	IOATIR500DVDContext::start(IOService*)
0000f0c0	2152	MISSING	IOATIR500DVDContext::clientMemoryForType(unsigned long, unsigned long*, IOMemoryDescriptor**)
0000fa40	552	SIG?	IOATIR500DVDContext::set_surface(unsigned long, eIODVDContextModeBits, int)
0000fd00	424	MISSING	IOATIR500DVDContext::lock_all_buffers(unsigned long, sIODVDContextLockBufferData*)
0000ffe0	940	SIG?	IOATIR500DVDContext::write_buffer(sIODVDContextWriteBufferData*, unsigned long)
000103e0	196	SIG?	IOATIR500DVDContext::declare_image(unsigned long, unsigned int, unsigned long, unsigned int*)
00010a50	88	MISSING	IOATIR500Surface::free()
00010ac0	116	MISSING	IOATIR500Surface::clientClose()
00010ba0	32	MISSING	IOATIR500Surface::add_2d_context_to_list(IOATIR5002DContext*)
00010f30	100	SIG?	IOATIR500Surface::get_state(eIOAccelSurfaceStateBits*)
00011100	16	MISSING	IOATIR500Surface::set_access()
00011840	108	MISSING	IOATIR500Surface::sleep_blocked()
00012110	484	SIG?	IOATIR500Surface::alloc_surfaces_pageq(unsigned long, unsigned long, bool)
00012470	40	MISSING	IOATIR500Surface::alloc_surfaces(unsigned long, bool)
00012800	220	SIG?	IOATIR500Surface::connect_buffer_backing_store(ATIR500SurfaceBuffer*, unsigned int, unsigned long)
00012900	216	MISSING	IOATIR500Surface::alloc_buffer_backing_store(ATIR500SurfaceBuffer*)
000131b0	64	MISSING	IOATIR500Surface::move_buffer_from_backing_store(ATIR500SurfaceBuffer*)
00013210	272	MISSING	IOATIR500Surface::alloc_surface_keep(IOATIR500Surface*, VendorTextureBuffer**, long, unsigned long)
00013360	280	MISSING	IOATIR500Surface::alloc_surface(unsigned long, bool)
000134b0	960	MISSING	IOATIR500Surface::stop(IOService*)
00013900	196	MISSING	IOATIR500Surface::setupFullScreen()
00013e30	100	MISSING	IOATIR500Surface::remove_2d_context_from_list(IOATIR5002DContext*)
00013f50	8	MISSING	IOATIR500Surface::surface_req_bits()
00014010	64	MISSING	IOATIR500Surface::buffer_map_offset(ATIR500SurfaceBuffer*, unsigned long, unsigned long, long*, long*, long*)
000141b0	188	MISSING	IOATIR500Surface::clientMemoryForType(unsigned long, unsigned long*, IOMemoryDescriptor**)
000142b0	1284	SIG?	IOATIR500Surface::set_id_mode(unsigned long, eIOSurfaceModeBits)
00014860	348	SIG?	IOATIR500Surface::alloc_surfaces_retry(unsigned long, eLockType)
00014f60	260	SIG?	IOATIR500Surface::surface_unlock_options(eLockType, unsigned long)
000152d0	1416	SIG?	IOATIR500Surface::set_shape_backing_length_ext(eIOAccelSurfaceShapeBits, unsigned long, unsigned int, unsigned long, IOAccelDeviceRegion*, unsigned long, unsigned long)
000158f0	80	SIG?	IOATIR500Surface::set_shape_backing_length(eIOAccelSurfaceShapeBits, unsigned long, unsigned int, unsigned long, unsigned long, IOAccelDeviceRegion*)
00015960	36	SIG?	IOATIR500Surface::set_shape_backing(eIOAccelSurfaceShapeBits, unsigned long, unsigned int, unsigned long, IOAccelDeviceRegion*, unsigned long)
000159a0	52	SIG?	IOATIR500Surface::set_shape(eIOAccelSurfaceShapeBits, unsigned long, IOAccelDeviceRegion*, unsigned long)
00015b70	272	SIG?	IOATIR500Surface::set_volatile_state(eSurfaceVolatileState)
00015cb0	84	SIG?	IOATIR500Surface::surface_control(unsigned long, unsigned long, unsigned long*)
00015d30	1636	SIG?	IOATIR500Surface::surface_lock_options(eLockType, unsigned long, IOAccelSurfaceData*, unsigned long)
00016d50	704	SIG?	IOATIR500Shared::alloc_client_shared(unsigned long, sIOClientShared**, unsigned int*)
00017150	856	SIG?	IOATIR500Shared::new_agp_texture(unsigned int, unsigned long, unsigned int*)
00017520	432	SIG?	IOATIR500Shared::new_surface_texture(unsigned long, unsigned long, unsigned long, unsigned int*)
00017740	456	SIG?	IOATIR500Shared::new_global_texture(unsigned long, unsigned int*)
00017df0	504	SIG?	IOATIR500Shared::new_agpref_texture(unsigned int, unsigned int, unsigned long, unsigned int*)
00018060	924	SIG?	IOATIR500Shared::new_texture(unsigned long, unsigned long, unsigned int, unsigned long, unsigned int*, unsigned int*)
00019ad0	8	MISSING	IOATIR500Accelerator::ASICSupportsAGP()
00019ea0	108	MISSING	ATIRadeonX1000::getPeriodValue(char*)
00019fa0	44	MISSING	ATIRadeonX1000::free()
0001a040	200	MISSING	ATIRadeonX1000::callPlatformFunction(OSSymbol const*, bool, void*, void*, void*, void*)
0001a300	156	MISSING	ATIRadeonX1000::writePerformanceStats(OSDictionary*)
0001a3c0	44	MISSING	ATIRadeonX1000::configureAGP(IOService*)
0001a3f0	44	MISSING	ATIRadeonX1000::teardownAGP(IOService*)
0001a420	44	MISSING	ATIRadeonX1000::commitAGPMemory(IOMemoryDescriptor*, unsigned long, unsigned long)
0001a450	44	MISSING	ATIRadeonX1000::releaseAGPMemory(IOMemoryDescriptor*, unsigned long, unsigned long)
0001a4b0	20	MISSING	ATIRadeonX1000::makeGARTEntry(unsigned long)
0001a5c0	44	MISSING	ATIRadeonX1000::mapVendorTransferBuffer(VendorTransferBuffer*)
0001a5f0	44	MISSING	ATIRadeonX1000::unmapVendorTransferBuffer(VendorTransferBuffer*)
0001a9c0	4	MISSING	ATIRadeonX1000::pageOffPCIeGART()
0001a9d0	36	MISSING	ATIRadeonX1000::SWDSIsRequired()
0001aa00	168	MISSING	ATIRadeonX1000::SWDSEnableCLUT(unsigned long)
0001ab60	36	MISSING	ATIRadeonX1000::tmpTotalVRAM()
0001b300	8	MISSING	ATIRadeonX1000::getAccelCapsBits()
0001b470	136	MISSING	DumpPCIeGART(unsigned long*, unsigned long, unsigned long)
0001b540	344	MISSING	ATIRadeonX1000::removeFromPCIeGART(IOMemoryDescriptor*, unsigned long)
0001b6a0	32	MISSING	ATIRadeonX1000::removeFromGART(IOMemoryDescriptor*, unsigned long)
0001b6d0	252	MISSING	ATIRadeonX1000::reserveInGART(unsigned long)
