name	address	section	ghidra_type	len	c_declaration	value	defined_in
__mh_bundle_header	0x0	?	mach_header	28	extern MACH_HEADER_t __mh_bundle_header asm("__mh_bundle_header");		linker symbol __mh_bundle_header
_radeonCopyRegion	0x55a0	__TEXT,__text	-	-		0x7c400026	code entry (asm next to its function)
s__LDBL128_0000cfbc	0xcfbc	__TEXT,__cstring	TerminatedCString	9	extern unsigned char *s__LDBL128_0000cfbc asm("s__LDBL128_0000cfbc");	0x244c4442	data.s
DOUBLE_0000cfd8	0xcfd8	__TEXT,__literal8	double	8	extern double DOUBLE_0000cfd8 asm("DOUBLE_0000cfd8");	0x43300000	data.s
DOUBLE_0000cfe0	0xcfe0	__TEXT,__literal8	double	8	extern double DOUBLE_0000cfe0 asm("DOUBLE_0000cfe0");	0x43300000	data.s
DOUBLE_0000cfe8	0xcfe8	__TEXT,__literal8	double	8	extern double DOUBLE_0000cfe8 asm("DOUBLE_0000cfe8");	0x3ff00000	data.s
DOUBLE_0000cff0	0xcff0	__TEXT,__literal8	double	8	extern double DOUBLE_0000cff0 asm("DOUBLE_0000cff0");	0x41e00000	data.s
FLOAT_0000cff8	0xcff8	__TEXT,__literal4	float	4	extern float FLOAT_0000cff8 asm("FLOAT_0000cff8");	0x41f80000	data.s
FLOAT_0000cffc	0xcffc	__TEXT,__literal4	float	4	extern float FLOAT_0000cffc asm("FLOAT_0000cffc");	0x437f0000	data.s
FLOAT_0000d000	0xd000	__TEXT,__literal4	float	4	extern float FLOAT_0000d000 asm("FLOAT_0000d000");	0x3f800000	data.s
FLOAT_0000d004	0xd004	__TEXT,__literal4	float	4	extern float FLOAT_0000d004 asm("FLOAT_0000d004");	0x45800000	data.s
FLOAT_0000d008	0xd008	__TEXT,__literal4	float	4	extern float FLOAT_0000d008 asm("FLOAT_0000d008");	0x00000000	data.s
FLOAT_0000d00c	0xd00c	__TEXT,__literal4	float	4	extern float FLOAT_0000d00c asm("FLOAT_0000d00c");	0x41000000	data.s
DAT_0000e018	0xe018	__DATA,__data	-	-	extern unsigned char DAT_0000e018 asm("DAT_0000e018");	0x18000000	data.s
_radeonGAInterface	0xe544	__DATA,__data	-	-		0x00000000	data.s
