start	end	kind	owner	instructions	calls
1684	1690	padding	FUN_00001664	3	
16d8	16e0	padding	__SetSurface	2	
1758	1760	padding	__SetDestination	2	
1794	17a0	padding	__LockSurface	3	
17b8	17c0	padding	__LockSurface	2	
1814	1820	padding	__LockSurface	3	
1854	1860	padding	__UnlockSurface	3	
18bc	18c0	padding	__UnlockSurface	1	
18f4	1900	padding	__SwapSurface	3	
194c	1950	padding	__SwapSurface	1	
199c	19c8	table	_window_mode_to_ati_format	11	
1b74	1b80	padding	__QueryInterface	3	
1b94	1ba0	padding	__AddRef	3	
1c0c	1c10	padding	__DecodePixelFormat	1	
1c38	1c40	padding	__DecodePixelFormat	2	
1d78	1d80	padding	__DecodePixelFormat	2	
1d88	1d90	padding	__DecodePixelFormat	2	
1ecc	1ed0	padding	_fillTextureWithPattern	1	
1fcc	1fd0	padding	_fillTextureWithPattern	1	
20a8	20b0	padding	__GetCapabilities	2	
20c8	20d0	padding	__GetCapabilities	2	
20dc	20e0	padding	__GetCapabilities	1	
2128	2130	padding	__GetBlitter	2	
2144	2150	padding	__GetBlitter	3	
2164	2170	padding	__GetBlitter	3	
21ac	21b0	padding	__GetBlitter	1	
21cc	21d0	padding	__GetBlitter	1	
21e8	21f0	padding	__GetBlitter	2	
21f8	2200	padding	__Synchronize	2	
2268	2270	padding	__GetBeamPosition	2	
2288	2290	padding	__WaitSurface	2	
22b8	22c0	padding	__WaitSurface	2	
22c8	22d0	padding	__WaitSurface	2	
2414	2420	padding	_ATIRadeonX1000GAFactory	3	
2484	2490	padding	__Release	3	
24c4	24d0	padding	__Reset	3	
2604	2610	padding	__Reset	3	
269c	26a0	padding	__Start	1	
2748	2750	padding	__Start	2	
28dc	28e0	padding	__AllocateSurface	1	
2994	29a0	padding	__AllocateSurface	3	
2b8c	2b90	padding	__AllocateSurface	1	
2ca4	2cb0	padding	__AllocateSurface	3	
2cc8	2cd0	padding	__AllocateSurface	2	
2d04	2d10	padding	__AllocateSurface	3	
2d84	2d90	padding	_radeon3DCopySetup	3	
2d9c	2da0	padding	_radeon3DCopySetup	1	
32b4	32c0	padding	_radeon3DCopySetup	3	
3428	3430	padding	_radeon3DCopySetup	2	
348c	3490	padding	_radeon3DCopySetup	1	
34d8	34e0	padding	_radeon3DCopySetup	2	
39c8	39d0	padding	_radeon3DFillSetup	2	
3d2c	3d30	padding	_radeon3DFillSetup	1	
3da4	3db0	padding	__Flush	3	
3e5c	3e60	padding	__Flush	1	
3e98	3ea0	padding	__Flush	2	
3f2c	3f30	padding	__WaitComplete	1	
3f64	3f70	padding	__FreeSurface	3	
401c	4020	padding	__FreeSurface	1	
4078	4080	padding	_createTextureBuffer	2	
412c	4130	padding	_createTextureBuffer	1	
4144	4150	padding	_createTextureBuffer	3	
41c8	41d0	padding	_createTextureBuffer	2	
4258	4260	padding	_createTextureBuffer	2	
42e8	42f0	padding	_createOffscreenBuffer	2	
4384	4390	padding	_createOffscreenBuffer	3	
439c	43a0	padding	_createOffscreenBuffer	1	
443c	4440	padding	_createOffscreenBuffer	1	
44c8	44d0	padding	_createOffscreenBuffer	2	
45f8	4600	padding	__Stop	2	
46ac	46b0	padding	_radeonCopy	1	
46e4	46f0	padding	_radeonCopy	3	
4cb4	4cc0	padding	_radeonCopy	3	
520c	5210	padding	_radeonCopy	1	
5558	5560	padding	_radeonCopy	2	
556c	5570	padding	_radeonCopy	1	
5594	55a4	millicode	_radeonCopy	4	
58ac	58b0	padding	FUN_000055a4	1	
5964	5970	padding	FUN_000055a4	3	
5d84	5d90	padding	FUN_000055a4	3	
5fc8	5fd0	padding	FUN_000055a4	2	
654c	6550	padding	FUN_000055a4	1	
81d8	81e0	padding	FUN_000055a4	2	
823c	8240	padding	FUN_000055a4	1	
825c	8260	padding	FUN_000055a4	1	
8678	8680	padding	_radeonFill	2	
a56c	a570	padding	_radeonFill	1	
a594	a5a0	padding	_radeonFill	3	
a758	a760	padding	_radeonHighlight	2	
a904	a910	padding	_radeonHighlight	3	
ad28	ad30	padding	_radeonHighlight	2	
aec8	aed0	padding	_radeonHighlight	2	
b618	b620	padding	_radeonHighlight	2	
b7c8	b7d0	padding	_radeonHighlight	2	
ba6c	ba70	padding	_radeonHighlight	1	
ba8c	ba90	padding	_radeonHighlight	1	
c878	c880	padding	_radeonSolidScanlines	2	
c948	c954	millicode	_radeonSolidScanlines	3	
c998	c9a4	millicode	_radeonSolidScanlines	3	
