function	name	call_lo	call_hi	landing_pad	action
cd05c	FUN_000cd05c	cd0e0	cd0e4	-	no-handler
cd05c	FUN_000cd05c	cd0f0	cd0f4	cd10c	cleanup
cd05c	FUN_000cd05c	cd0f8	cd134	-	no-handler
d0304	FUN_000d0304	d0338	d033c	d0340	cleanup
d0304	FUN_000d0304	d0340	d0344	-	no-handler
d035c	FUN_000d035c	d0390	d0394	d0398	cleanup
d035c	FUN_000d035c	d0398	d039c	-	no-handler
d4e8c	FUN_000d4e8c	d4ec0	d4ec4	d4ec8	cleanup
d4e8c	FUN_000d4e8c	d4ec8	d4ecc	-	no-handler
da0c0	FUN_000da0c0	da0ec	da0f0	-	no-handler
da0c0	FUN_000da0c0	da164	da168	da180	cleanup
da0c0	FUN_000da0c0	da180	da374	-	no-handler
da4b8	FUN_000da4b8	da4e4	da4e8	-	no-handler
da4b8	FUN_000da4b8	da55c	da560	da578	cleanup
da4b8	FUN_000da4b8	da578	da76c	-	no-handler
e1920	FUN_000e1920	e19d8	e19dc	-	no-handler
e1920	FUN_000e1920	e1a00	e1a04	e1a08	cleanup
e1920	FUN_000e1920	e1a08	e1a34	-	no-handler
e1a48	FUN_000e1a48	e1b00	e1b04	-	no-handler
e1a48	FUN_000e1a48	e1b28	e1b2c	e1b30	cleanup
e1a48	FUN_000e1a48	e1b30	e1b5c	-	no-handler
e1b70	FUN_000e1b70	e1ba8	e1bd8	-	no-handler
e1b70	FUN_000e1b70	e1be4	e1be8	e1bf0	cleanup
e1b70	FUN_000e1b70	e1bfc	e1c00	-	no-handler
e1b70	FUN_000e1b70	e1c0c	e1c10	e1c20	cleanup
e1b70	FUN_000e1b70	e1c20	e1c2c	-	no-handler
e2094	FUN_000e2094	e211c	e2174	-	no-handler
e2094	FUN_000e2094	e2184	e2188	e21b8	cleanup
e2094	FUN_000e2094	e2198	e219c	-	no-handler
e2094	FUN_000e2094	e21b0	e21b4	e21cc	cleanup
e2094	FUN_000e2094	e21e8	e24fc	-	no-handler
