name	address	section	ghidra_type	len	c_declaration	value	defined_in
MACH_HEADER	0x0	?	mach_header	28	extern MACH_HEADER_t MACH_HEADER asm("__mh_bundle_header");		linker symbol __mh_bundle_header
s__001a4134	0x1a4134	__TEXT,__cstring	TerminatedCString	1	extern unsigned char *s__001a4134 asm("s__001a4134");	0x00000000	data.s
s_C_001a4428	0x1a4428	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s_C_001a4428 asm("s_C_001a4428");	0x43000000	data.s
s_1_001a442c	0x1a442c	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s_1_001a442c asm("s_1_001a442c");	0x31000000	data.s
s__SAT_001a4430	0x1a4430	__TEXT,__cstring	TerminatedCString	5	extern unsigned char *s__SAT_001a4430 asm("s__SAT_001a4430");	0x5f534154	data.s
s_R_001a4438	0x1a4438	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s_R_001a4438 asm("s_R_001a4438");	0x52000000	data.s
s_H_001a443c	0x1a443c	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s_H_001a443c asm("s_H_001a443c");	0x48000000	data.s
s_X_001a4440	0x1a4440	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s_X_001a4440 asm("s_X_001a4440");	0x58000000	data.s
s___001a4444	0x1a4444	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s___001a4444 asm("s___001a4444");	0x3a000000	data.s
s_F_001a4448	0x1a4448	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s_F_001a4448 asm("s_F_001a4448");	0x46000000	data.s
s_I_001a444c	0x1a444c	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s_I_001a444c asm("s_I_001a444c");	0x49000000	data.s
s_B_001a4450	0x1a4450	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s_B_001a4450 asm("s_B_001a4450");	0x42000000	data.s
s_32_001a4454	0x1a4454	__TEXT,__cstring	TerminatedCString	3	extern unsigned char *s_32_001a4454 asm("s_32_001a4454");	0x33320000	data.s
s_16_001a4458	0x1a4458	__TEXT,__cstring	TerminatedCString	3	extern unsigned char *s_16_001a4458 asm("s_16_001a4458");	0x31360000	data.s
s_12_001a445c	0x1a445c	__TEXT,__cstring	TerminatedCString	3	extern unsigned char *s_12_001a445c asm("s_12_001a445c");	0x31320000	data.s
s_tmp_001a4460	0x1a4460	__TEXT,__cstring	TerminatedCString	4	extern unsigned char *s_tmp_001a4460 asm("s_tmp_001a4460");	0x746d7000	data.s
s___001a4464	0x1a4464	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s___001a4464 asm("s___001a4464");	0x5b000000	data.s
s___001a4468	0x1a4468	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s___001a4468 asm("s___001a4468");	0x5d000000	data.s
s_res_001a446c	0x1a446c	__TEXT,__cstring	TerminatedCString	4	extern unsigned char *s_res_001a446c asm("s_res_001a446c");	0x72657300	data.s
s__adr_001a4470	0x1a4470	__TEXT,__cstring	TerminatedCString	5	extern unsigned char *s__adr_001a4470 asm("s__adr_001a4470");	0x5b616472	data.s
s__x_001a4478	0x1a4478	__TEXT,__cstring	TerminatedCString	3	extern unsigned char *s__x_001a4478 asm("s__x_001a4478");	0x2e780000	data.s
s__y_001a447c	0x1a447c	__TEXT,__cstring	TerminatedCString	3	extern unsigned char *s__y_001a447c asm("s__y_001a447c");	0x2e790000	data.s
