name	address	section	ghidra_type	len	c_declaration	value	defined_in
DOUBLE_0000d408	0xd408	__TEXT,__literal8	double	8	extern double DOUBLE_0000d408 asm("DOUBLE_0000d408");	0xc00921fb	data.s
DOUBLE_0000d410	0xd410	__TEXT,__literal8	double	8	extern double DOUBLE_0000d410 asm("DOUBLE_0000d410");	0x400921fb	data.s
DOUBLE_0000d418	0xd418	__TEXT,__literal8	double	8	extern double DOUBLE_0000d418 asm("DOUBLE_0000d418");	0x43300000	data.s
DOUBLE_0000d420	0xd420	__TEXT,__literal8	double	8	extern double DOUBLE_0000d420 asm("DOUBLE_0000d420");	0x43300000	data.s
FLOAT_0000d428	0xd428	__TEXT,__literal4	float	4	extern float FLOAT_0000d428 asm("FLOAT_0000d428");	0xc0490fdb	data.s
FLOAT_0000d42c	0xd42c	__TEXT,__literal4	float	4	extern float FLOAT_0000d42c asm("FLOAT_0000d42c");	0x40490fdb	data.s
FLOAT_0000d430	0xd430	__TEXT,__literal4	float	4	extern float FLOAT_0000d430 asm("FLOAT_0000d430");	0x00000000	data.s
FLOAT_0000d434	0xd434	__TEXT,__literal4	float	4	extern float FLOAT_0000d434 asm("FLOAT_0000d434");	0x40400000	data.s
FLOAT_0000d438	0xd438	__TEXT,__literal4	float	4	extern float FLOAT_0000d438 asm("FLOAT_0000d438");	0xbf800000	data.s
FLOAT_0000d43c	0xd43c	__TEXT,__literal4	float	4	extern float FLOAT_0000d43c asm("FLOAT_0000d43c");	0x3f800000	data.s
FLOAT_0000d440	0xd440	__TEXT,__literal4	float	4	extern float FLOAT_0000d440 asm("FLOAT_0000d440");	0x3e800000	data.s
FLOAT_0000d444	0xd444	__TEXT,__literal4	float	4	extern float FLOAT_0000d444 asm("FLOAT_0000d444");	0x40800000	data.s
FLOAT_0000d448	0xd448	__TEXT,__literal4	float	4	extern float FLOAT_0000d448 asm("FLOAT_0000d448");	0x3b808081	data.s
FLOAT_0000d44c	0xd44c	__TEXT,__literal4	float	4	extern float FLOAT_0000d44c asm("FLOAT_0000d44c");	0x46fffe00	data.s
FLOAT_0000d450	0xd450	__TEXT,__literal4	float	4	extern float FLOAT_0000d450 asm("FLOAT_0000d450");	0x41000000	data.s
FLOAT_0000d454	0xd454	__TEXT,__literal4	float	4	extern float FLOAT_0000d454 asm("FLOAT_0000d454");	0x3fc00000	data.s
FLOAT_0000d458	0xd458	__TEXT,__literal4	float	4	extern float FLOAT_0000d458 asm("FLOAT_0000d458");	0x40000000	data.s
FLOAT_0000d45c	0xd45c	__TEXT,__literal4	float	4	extern float FLOAT_0000d45c asm("FLOAT_0000d45c");	0x43000000	data.s
FLOAT_0000d460	0xd460	__TEXT,__literal4	float	4	extern float FLOAT_0000d460 asm("FLOAT_0000d460");	0x437f0000	data.s
