start	end	kind	owner	instructions	calls
20f4	2100	padding	FUN_000020d4	3	
2308	2310	padding	_AVACreateRenderer	2	
2334	2340	padding	_AVACreateRenderer	3	
23ac	23b0	padding	FUN_00002340	1	
24f4	2500	padding	_AVACreateRendererDVDExt	3	
256c	2570	padding	_AVAGetRendererInfo	1	
2904	2910	padding	FUN_00002570	3	
2924	2930	padding	FUN_00002570	3	
29b4	29c0	padding	FUN_00002930	3	
2b68	2b70	padding	FUN_000029c0	2	
2c64	2c70	padding	FUN_00002b70	3	
2cf4	2d00	padding	FUN_00002c70	3	
2d78	2d80	padding	FUN_00002d00	2	
2e04	2e10	padding	FUN_00002dc0	3	
2e98	2f00	switch-code	FUN_00002e50	26	
318c	3190	padding	FUN_00002e50	1	
31bc	31c0	padding	FUN_00002e50	1	
320c	3210	padding	FUN_00002e50	1	
3234	3240	padding	FUN_00002e50	3	
3348	3350	padding	FUN_00002e50	2	
355c	3560	padding	FUN_00003350	1	
35e4	35f0	padding	FUN_00003350	3	
374c	3750	padding	FUN_00003630	1	
3784	3790	padding	FUN_00003630	3	
37a4	37b0	padding	FUN_00003630	3	
382c	3830	padding	FUN_000037b0	1	
38b8	38c0	padding	FUN_00003830	2	
3924	3930	padding	FUN_000038c0	3	
3cc4	3cd0	padding	FUN_00003930	3	
3e04	3e4c	table	FUN_00003cd0	18	
3fb8	3fc0	padding	FUN_00003cd0	2	
425c	4260	padding	FUN_00003fc0	1	
427c	4280	padding	FUN_00003fc0	1	
46e4	46f0	padding	FUN_00004340	3	
4714	4720	padding	FUN_00004340	3	
4734	4740	padding	FUN_00004340	3	
4884	4890	padding	FUN_00004740	3	
49e4	49f0	padding	FUN_00004740	3	
49f4	4a00	padding	FUN_000049f0	3	
4a04	4a10	padding	FUN_00004a00	3	
4b38	4b40	padding	FUN_00004a10	2	
4eec	4ef0	padding	FUN_00004b40	1	
4fe4	4ff0	padding	FUN_00004fa0	3	
5018	5020	padding	FUN_00004fa0	2	
51b4	51c0	padding	FUN_00004fa0	3	
51e8	51f0	padding	FUN_00004fa0	2	
5278	5280	padding	FUN_000051f0	2	
52ec	52f0	padding	FUN_00005280	1	
5674	5680	padding	FUN_000052f0	3	
5698	56a0	padding	FUN_000052f0	2	
5764	5770	padding	FUN_000056a0	3	
58ac	58b0	padding	FUN_000056a0	1	
5d5c	5d60	padding	FUN_000058b0	1	
5d64	5d70	padding	FUN_00005d60	3	
5f4c	5f50	padding	FUN_00005d70	1	
5f8c	5f90	padding	FUN_00005d70	1	
600c	6010	padding	FUN_00005fd0	1	
6098	60a0	padding	FUN_00005fd0	2	
611c	6120	padding	FUN_00005fd0	1	
61b8	61c0	padding	FUN_00006120	2	
6224	6230	padding	FUN_00006120	3	
69d4	69e0	padding	FUN_00006230	3	
7014	7020	padding	FUN_00006d90	3	
74fc	7500	padding	FUN_00007490	1	
7568	7570	padding	FUN_00007490	2	
75e8	75f0	padding	FUN_00007490	2	
773c	7740	padding	FUN_00007490	1	
77d4	77e0	padding	FUN_00007760	3	
7808	7810	padding	FUN_00007760	2	
7838	7840	padding	FUN_00007760	2	
7848	7850	padding	FUN_00007760	2	
7dd8	7de0	padding	FUN_00007850	2	
7fe8	7ff0	padding	FUN_00007f80	2	
815c	8160	padding	FUN_00007f80	1	
8184	8190	padding	FUN_00007f80	3	
83b4	83c0	padding	FUN_00007f80	3	
83d4	83e0	padding	FUN_00007f80	3	
850c	8510	padding	FUN_000083e0	1	
8684	8690	padding	FUN_00008510	3	
8754	8760	padding	FUN_00008690	3	
879c	87a0	padding	FUN_00008690	1	
87f8	8800	padding	FUN_00008690	2	
881c	8820	padding	FUN_00008800	1	
8898	88b8	table	FUN_00008820	8	
8f2c	8f30	padding	FUN_00008820	1	
8f58	8f78	table	FUN_00008820	8	
9668	9670	padding	FUN_00008820	2	
968c	9690	padding	FUN_00009670	1	
9694	96a0	padding	FUN_00009690	3	
9784	9790	padding	FUN_00009700	3	
9844	9850	padding	FUN_00009700	3	
9928	9930	padding	FUN_00009700	2	
9ab8	9ac0	padding	FUN_000099b0	2	
9b84	9b90	padding	FUN_00009ac0	3	
9c74	9c80	padding	FUN_00009ac0	3	
a108	a110	padding	FUN_00009c80	2	
a4d4	a4e0	padding	FUN_0000a110	3	
a5ac	a5b0	padding	FUN_0000a4e0	1	
a8bc	a8c0	padding	FUN_0000a4e0	1	
b038	b040	padding	FUN_0000ae80	2	
b04c	b050	padding	FUN_0000ae80	1	
b1d4	b1e0	padding	FUN_0000ae80	3	
b7e4	b7f0	padding	FUN_0000ae80	3	
bbb4	bbc0	padding	FUN_0000b7f0	3	
bf68	bf70	padding	FUN_0000bf20	2	
c078	c080	padding	FUN_0000bfc0	2	
c158	c160	padding	FUN_0000bfc0	2	
c708	c710	padding	FUN_0000c4b0	2	
ca9c	caa0	padding	FUN_0000c4b0	1	
cafc	cb00	padding	FUN_0000caa0	1	
cf70	cf98	millicode	FUN_0000cb00	10	
cfc0	cfe8	millicode	FUN_0000cfa8	10	
