entry	function	register	class	first reader / imports
97b7dadc	_PPParserParseStatement	r9	PASS-no	97b7db00 bl _PPParserGetPart
97b86434	_CPPdefine	r5	PASS-indirect	97b86488 bctrl 
97b86434	_CPPdefine	r6	PASS-indirect	97b86488 bctrl 
97b86434	_CPPdefine	r7	PASS-indirect	97b86488 bctrl 
97b86434	_CPPdefine	r8	PASS-indirect	97b86488 bctrl 
97b86434	_CPPdefine	r9	PASS-indirect	97b86488 bctrl 
97b867e0	_CPPundef	r5	PASS-indirect	97b86818 bctrl 
97b867e0	_CPPundef	r6	PASS-indirect	97b86818 bctrl 
97b867e0	_CPPundef	r7	PASS-indirect	97b86818 bctrl 
97b867e0	_CPPundef	r8	PASS-indirect	97b86818 bctrl 
97b867e0	_CPPundef	r9	PASS-indirect	97b86818 bctrl 
97b86cb4	_eval	r8	PASS-indirect	97b86db8 bl _MacroExpand
97b86cb4	_eval	r9	PASS-indirect	97b86db8 bl _MacroExpand
97b87010	_CPPif	r5	PASS-indirect	97b87048 bctrl 
97b87010	_CPPif	r6	PASS-indirect	97b87048 bctrl 
97b87010	_CPPif	r7	PASS-indirect	97b87048 bctrl 
97b87010	_CPPif	r8	PASS-indirect	97b87048 bctrl 
97b87144	_CPPifdef	r5	PASS-indirect	97b8717c bctrl 
97b87144	_CPPifdef	r6	PASS-indirect	97b8717c bctrl 
97b87144	_CPPifdef	r7	PASS-indirect	97b8717c bctrl 
97b87144	_CPPifdef	r8	PASS-indirect	97b8717c bctrl 
97b872a0	_CPPline	r5	PASS-indirect	97b872d8 bctrl 
97b872a0	_CPPline	r6	PASS-indirect	97b872d8 bctrl 
97b872a0	_CPPline	r7	PASS-indirect	97b872d8 bctrl 
97b872a0	_CPPline	r8	PASS-indirect	97b872d8 bctrl 
97b872a0	_CPPline	r9	PASS-indirect	97b872d8 bctrl 
97b873ac	_CPPerror	r5	PASS-indirect	97b873e4 bctrl 
97b873ac	_CPPerror	r6	PASS-indirect	97b873e4 bctrl 
97b873ac	_CPPerror	r7	PASS-indirect	97b873e4 bctrl 
97b873ac	_CPPerror	r8	PASS-indirect	97b873e4 bctrl 
97b873ac	_CPPerror	r9	PASS-indirect	97b873e4 bctrl 
97b87494	_CPPpragma	r5	PASS-indirect	97b874d4 bctrl 
97b87494	_CPPpragma	r6	PASS-indirect	97b874d4 bctrl 
97b87494	_CPPpragma	r7	PASS-indirect	97b874d4 bctrl 
97b87494	_CPPpragma	r8	PASS-indirect	97b874d4 bctrl 
97b876a4	_CPPversion	r5	PASS-indirect	97b876dc bctrl 
97b876a4	_CPPversion	r6	PASS-indirect	97b876dc bctrl 
97b876a4	_CPPversion	r7	PASS-indirect	97b876dc bctrl 
97b876a4	_CPPversion	r8	PASS-indirect	97b876dc bctrl 
97b876a4	_CPPversion	r9	PASS-indirect	97b876dc bctrl 
97b877a4	_CPPextension	r5	PASS-indirect	97b877dc bctrl 
97b877a4	_CPPextension	r6	PASS-indirect	97b877dc bctrl 
97b877a4	_CPPextension	r7	PASS-indirect	97b877dc bctrl 
97b877a4	_CPPextension	r8	PASS-indirect	97b877dc bctrl 
97b877a4	_CPPextension	r9	PASS-indirect	97b877dc bctrl 
97b87900	_readCPPline	r5	PASS-indirect	97b8793c bctrl 
97b87900	_readCPPline	r6	PASS-indirect	97b8793c bctrl 
97b87900	_readCPPline	r7	PASS-indirect	97b8793c bctrl 
97b87900	_readCPPline	r8	PASS-indirect	97b8793c bctrl 
97b87900	_readCPPline	r9	PASS-indirect	97b8793c bctrl 
97b87ffc	_MacroExpand	r5	PASS-no	97b8802c bl 0x97c1e3c0	; symbol stub for: _LookUpSym
97b87ffc	_MacroExpand	r6	PASS-no	97b8802c bl 0x97c1e3c0	; symbol stub for: _LookUpSym
97b87ffc	_MacroExpand	r7	PASS-no	97b8802c bl 0x97c1e3c0	; symbol stub for: _LookUpSym
97b87ffc	_MacroExpand	r8	PASS-no	97b8802c bl 0x97c1e3c0	; symbol stub for: _LookUpSym
97b88b88	_lBuildFloatValue	r6	PASS-no	97b88c78 bl 0x97c1e460	; symbol stub for: _CPPErrorT
97b88b88	_lBuildFloatValue	r7	PASS-no	97b88c78 bl 0x97c1e460	; symbol stub for: _CPPErrorT
97b88b88	_lBuildFloatValue	r8	PASS-no	97b88c78 bl 0x97c1e460	; symbol stub for: _CPPErrorT
97b88c98	_lFloatConst	r7	PASS-indirect	97b88cf8 bctrl 
97b88c98	_lFloatConst	r8	PASS-indirect	97b88cf8 bctrl 
97b88c98	_lFloatConst	r9	PASS-indirect	97b88cf8 bctrl 
97b89cd0	_yylex_CPP	r5	PASS-indirect	97b89d20 bctrl 
97b89cd0	_yylex_CPP	r6	PASS-indirect	97b89d20 bctrl 
97b89cd0	_yylex_CPP	r7	PASS-indirect	97b89d20 bctrl 
97b89cd0	_yylex_CPP	r8	PASS-indirect	97b89d20 bctrl 
97b89e94	_check_EOF	r4	RET	97b89efc blr 
97b89e94	_check_EOF	r5	PASS-no	97b89ed8 bl 0x97c1e460	; symbol stub for: _CPPErrorT
97b89e94	_check_EOF	r6	PASS-no	97b89ed8 bl 0x97c1e460	; symbol stub for: _CPPErrorT
97b89e94	_check_EOF	r7	PASS-no	97b89ed8 bl 0x97c1e460	; symbol stub for: _CPPErrorT
97b89e94	_check_EOF	r8	PASS-no	97b89ed8 bl 0x97c1e460	; symbol stub for: _CPPErrorT
97b89e94	_check_EOF	r9	PASS-vararg	97b89ed8 bl 0x97c1e460	; symbol stub for: _CPPErrorT
97b8a11c	_lAddToTree	r5	PASS-no	97b8a158 bl 0x97c1e660	; symbol stub for: _GetRevers
