name	address	section	ghidra_type	len	c_declaration	value	defined_in
s__97c23d6c	0x97c23d6c	__TEXT,__cstring	TerminatedCString	1	extern unsigned char *s__97c23d6c asm("s__97c23d6c");	0x00000000	data.s
s___________________________97c23e68	0x97c23e68	__TEXT,__cstring	TerminatedCString	26	extern unsigned char *s___________________________97c23e68 asm("s___________________________97c23e68");	0x7e21255e	data.s
s_PROFILE__97c23f9c	0x97c23f9c	__TEXT,__cstring	TerminatedCString	9	extern unsigned char *s_PROFILE__97c23f9c asm("s_PROFILE__97c23f9c");	0x50524f46	data.s
s__97c26c38	0x97c26c38	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s__97c26c38 asm("s__97c26c38");	0x0a000000	data.s
s__97c28c28	0x97c28c28	__TEXT,__cstring	TerminatedCString	3	extern unsigned char *s__97c28c28 asm("s__97c28c28");	0x20200000	data.s
SYM_97c291c0	0x97c291c0	__TEXT,__cstring	TerminatedCString	2		0x20000000	data.s
s__97c291c0	0x97c291c0	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s__97c291c0 asm("s__97c291c0");	0x20000000	data.s
s___97c29860	0x97c29860	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s___97c29860 asm("s___97c29860");	0x5b000000	data.s
SYM_97c29948	0x97c29948	__TEXT,__cstring	TerminatedCString	15		0x20697320	data.s
SYM_97c29ef8	0x97c29ef8	__TEXT,__cstring	TerminatedCString	8		0x73747275	data.s
s___97c2a130	0x97c2a130	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s___97c2a130 asm("s___97c2a130");	0x2e000000	data.s
s___97c2a2d4	0x97c2a2d4	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s___97c2a2d4 asm("s___97c2a2d4");	0x2d000000	data.s
s___97c2a308	0x97c2a308	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s___97c2a308 asm("s___97c2a308");	0x2b000000	data.s
s___97c2a31c	0x97c2a31c	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s___97c2a31c asm("s___97c2a31c");	0x7c000000	data.s
s___97c2a320	0x97c2a320	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s___97c2a320 asm("s___97c2a320");	0x3a000000	data.s
s___97c2a324	0x97c2a324	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s___97c2a324 asm("s___97c2a324");	0x2c000000	data.s
SYM_97c2aa10	0x97c2aa10	__TEXT,__cstring	TerminatedCString	19		0x27206973	data.s
s_F_97c2d738	0x97c2d738	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s_F_97c2d738 asm("s_F_97c2d738");	0x46000000	data.s
s_X_97c2d73c	0x97c2d73c	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s_X_97c2d73c asm("s_X_97c2d73c");	0x58000000	data.s
s_I_97c2d740	0x97c2d740	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s_I_97c2d740 asm("s_I_97c2d740");	0x49000000	data.s
s_B_97c2d744	0x97c2d744	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s_B_97c2d744 asm("s_B_97c2d744");	0x42000000	data.s
s_32_97c2d748	0x97c2d748	__TEXT,__cstring	TerminatedCString	3	extern unsigned char *s_32_97c2d748 asm("s_32_97c2d748");	0x33320000	data.s
s_16_97c2d74c	0x97c2d74c	__TEXT,__cstring	TerminatedCString	3	extern unsigned char *s_16_97c2d74c asm("s_16_97c2d74c");	0x31360000	data.s
s_12_97c2d750	0x97c2d750	__TEXT,__cstring	TerminatedCString	3	extern unsigned char *s_12_97c2d750 asm("s_12_97c2d750");	0x31320000	data.s
s_R_97c2d754	0x97c2d754	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s_R_97c2d754 asm("s_R_97c2d754");	0x52000000	data.s
s_H_97c2d758	0x97c2d758	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s_H_97c2d758 asm("s_H_97c2d758");	0x48000000	data.s
s_C_97c2d75c	0x97c2d75c	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s_C_97c2d75c asm("s_C_97c2d75c");	0x43000000	data.s
s_1_97c2d760	0x97c2d760	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s_1_97c2d760 asm("s_1_97c2d760");	0x31000000	data.s
s__SAT_97c2d764	0x97c2d764	__TEXT,__cstring	TerminatedCString	5	extern unsigned char *s__SAT_97c2d764 asm("s__SAT_97c2d764");	0x5f534154	data.s
s_tmp_97c2d76c	0x97c2d76c	__TEXT,__cstring	TerminatedCString	4	extern unsigned char *s_tmp_97c2d76c asm("s_tmp_97c2d76c");	0x746d7000	data.s
s___97c2d770	0x97c2d770	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s___97c2d770 asm("s___97c2d770");	0x5d000000	data.s
s_res_97c2d774	0x97c2d774	__TEXT,__cstring	TerminatedCString	4	extern unsigned char *s_res_97c2d774 asm("s_res_97c2d774");	0x72657300	data.s
s__adr_97c2d778	0x97c2d778	__TEXT,__cstring	TerminatedCString	5	extern unsigned char *s__adr_97c2d778 asm("s__adr_97c2d778");	0x5b616472	data.s
s__x_97c2d780	0x97c2d780	__TEXT,__cstring	TerminatedCString	3	extern unsigned char *s__x_97c2d780 asm("s__x_97c2d780");	0x2e780000	data.s
s__y_97c2d784	0x97c2d784	__TEXT,__cstring	TerminatedCString	3	extern unsigned char *s__y_97c2d784 asm("s__y_97c2d784");	0x2e790000	data.s
s__z_97c2d788	0x97c2d788	__TEXT,__cstring	TerminatedCString	3	extern unsigned char *s__z_97c2d788 asm("s__z_97c2d788");	0x2e7a0000	data.s
s__w_97c2d78c	0x97c2d78c	__TEXT,__cstring	TerminatedCString	3	extern unsigned char *s__w_97c2d78c asm("s__w_97c2d78c");	0x2e770000	data.s
s_x_97c2d790	0x97c2d790	__TEXT,__cstring	TerminatedCString	2	extern unsigned char *s_x_97c2d790 asm("s_x_97c2d790");	0x78000000	data.s
