0x97b853f0	_PPParserParseSwizzleCode
0x97b86c5c	_op_shl
0x97b86c64	_op_shl
0x97b86c6c	_op_shl
0x97b86c74	_op_shl
0x97b86c98	_op_pos
0x97b99088	FUN_97b9907c
0x97b99094	FUN_97b9907c
0x97b990a0	FUN_97b9907c
0x97b990ac	FUN_97b9907c
0x97b99280	FUN_97b99274
0x97b9928c	FUN_97b99274
0x97b99298	FUN_97b99274
0x97b992a4	FUN_97b99274
0x97b998a8	FUN_97b9989c
0x97b998b4	FUN_97b9989c
0x97b998c0	FUN_97b9989c
0x97b998cc	FUN_97b9989c
0x97b99ec4	FUN_97b99eb8
0x97b99ed0	FUN_97b99eb8
0x97b99edc	FUN_97b99eb8
0x97b99ee8	FUN_97b99eb8
0x97b9a058	FUN_97b9a04c
0x97b9a064	FUN_97b9a04c
0x97b9a070	FUN_97b9a04c
0x97b9a07c	FUN_97b9a04c
0x97b9a850	FUN_97b9a844
0x97b9a85c	FUN_97b9a844
0x97b9a868	FUN_97b9a844
0x97b9a874	FUN_97b9a844
0x97bae35c	_CPPWarningToInfoLog
0x97bae368	_CPPWarningToInfoLog
0x97bae374	_CPPWarningToInfoLog
0x97bae380	_CPPWarningToInfoLog
0x97bd3c20	_InterpreterTextureSamplerSampleTexel3D
0x97c08028	_GetStreamArray
0x97c102ec	_instructionIndexHashFunction
0x97c10924	_glpDCBAlloc
0x97c1992c	get_ttype_entry
0x97c1ddfc	save_world
